Date,Name,Year,Letterboxd URI,Rating
2023-10-30,Band of Brothers,2001,https://boxd.it/aRNY,5
2023-10-30,Cowboy Bebop,1998,https://boxd.it/ptES,4.5
2024-05-03,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2024-05-03,2010: The Year We Make Contact,1984,https://boxd.it/24lK,3
2024-05-03,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2024-05-03,Deepwater Horizon,2016,https://boxd.it/9oiU,4
2024-05-03,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,2
2024-05-03,A Haunting in Venice,2023,https://boxd.it/zGdg,2
2024-05-03,Léon: The Professional,1994,https://boxd.it/2b8S,3
2024-05-03,Whiplash,2014,https://boxd.it/7bQA,5
2024-05-03,The Lost City of Z,2016,https://boxd.it/a7jS,1
2024-05-03,There Will Be Blood,2007,https://boxd.it/20Z2,4
2024-05-03,2012,2009,https://boxd.it/1OE2,2
2024-05-03,Elysium,2013,https://boxd.it/2cBm,3
2024-05-03,Hellboy,2004,https://boxd.it/28HK,2
2024-05-03,R.I.P.D.,2013,https://boxd.it/FQQ,3
2024-05-03,The Creator,2023,https://boxd.it/oXWq,3
2024-05-03,Minority Report,2002,https://boxd.it/2aWi,3
2024-05-07,Spirited Away,2001,https://boxd.it/2b4m,5
2025-06-08,Mickey 17,2025,https://boxd.it/q1Dk,2.5
2025-06-08,Dune: Part Two,2024,https://boxd.it/pUfA,3.5
2025-06-08,Oppenheimer,2023,https://boxd.it/wUow,3
2025-06-08,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2025-06-08,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,2
2025-06-08,Dune,2021,https://boxd.it/fA7G,3.5
2025-06-08,Knives Out,2019,https://boxd.it/jWEA,3
2025-06-08,Joker,2019,https://boxd.it/h4cS,2
2025-06-08,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2025-06-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2025-06-08,La La Land,2016,https://boxd.it/a5fa,4
2025-06-08,The Way Way Back,2013,https://boxd.it/4Gwq,4
2025-06-08,Inception,2010,https://boxd.it/1skk,3.5
2025-06-08,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-06-08,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2025-06-08,Fight Club,1999,https://boxd.it/2a9q,3.5
2025-06-08,Starship Troopers,1997,https://boxd.it/2a7k,2.5
2025-06-08,Kiki's Delivery Service,1989,https://boxd.it/1JAY,3.5
2025-06-08,Pulp Fiction,1994,https://boxd.it/29Pq,5
2025-06-08,Captain America: Brave New World,2025,https://boxd.it/uYDm,1.5
2025-06-08,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2025-06-08,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2025-06-08,The Godfather,1972,https://boxd.it/2aNK,4.5
2025-06-08,Schindler's List,1993,https://boxd.it/2aq2,4.5
2025-06-08,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4
2025-06-08,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2025-06-08,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,3.5
2025-06-08,GoodFellas,1990,https://boxd.it/29FA,3.5
2025-06-08,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2025-06-08,Do the Right Thing,1989,https://boxd.it/29gA,5
2025-06-08,The Pianist,2002,https://boxd.it/2aqc,4.5
2025-06-08,Princess Mononoke,1997,https://boxd.it/2b4w,3
2025-06-08,Good Will Hunting,1997,https://boxd.it/2ahY,4
2025-06-08,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2025-06-08,The Departed,2006,https://boxd.it/28MA,3
2025-06-08,Django Unchained,2012,https://boxd.it/2cCk,4
2025-06-08,Children of Men,2006,https://boxd.it/1Y2i,4
2025-06-08,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,2.5
2025-06-08,Heat,1995,https://boxd.it/2bg8,4.5
2025-06-08,Akira,1988,https://boxd.it/2b1i,3
2025-06-08,Casablanca,1942,https://boxd.it/2aG0,3
2025-06-08,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,3
2025-06-08,The Iron Giant,1999,https://boxd.it/1Wow,3.5
2025-06-08,The Prestige,2006,https://boxd.it/293w,3.5
2025-06-08,The Green Mile,1999,https://boxd.it/2agG,3.5
2025-06-08,Saving Private Ryan,1998,https://boxd.it/29ro,4
2025-06-08,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
